date_id,product_id,location_id,channel_id,$ Volume
0,0,0,0,22.48
0,1,0,0,22.48
0,8,0,0,22.48
0,11,0,0,22.48
0,15,0,0,22.48
0,18,0,0,22.48
0,19,0,0,22.48
0,20,0,0,22.48
0,0,1,1,100.0
0,1,1,1,100.0
0,8,1,1,100.0
0,11,1,1,100.0
0,15,1,1,100.0
0,18,1,1,100.0
0,19,1,1,100.0
0,20,1,1,100.0
0,2,2,2,66.14
0,5,2,2,66.14
0,6,2,2,66.14
0,9,2,2,66.14
0,10,2,2,66.14
0,16,2,2,66.14
0,3,3,3,222.5
0,4,3,3,222.5
0,7,3,3,222.5
0,12,3,3,222.5
0,13,3,3,222.5
0,14,3,3,222.5
0,17,3,3,222.5
0,0,4,3,302.5
0,1,4,3,302.5
0,8,4,3,302.5
0,11,4,3,302.5
0,15,4,3,302.5
0,18,4,3,302.5
0,19,4,3,302.5
0,20,4,3,302.5
0,0,3,4,10.0
0,1,3,4,10.0
0,8,3,4,10.0
0,11,3,4,10.0
0,15,3,4,10.0
0,18,3,4,10.0
0,19,3,4,10.0
0,20,3,4,10.0
0,3,2,5,-4.22
0,4,2,5,-4.22
0,7,2,5,-4.22
0,12,2,5,-4.22
0,13,2,5,-4.22
0,14,2,5,-4.22
0,17,2,5,-4.22
0,2,0,6,59.95
0,5,0,6,59.95
0,6,0,6,59.95
0,9,0,6,59.95
0,10,0,6,59.95
0,16,0,6,59.95
0,2,5,7,300.0
0,5,5,7,300.0
0,6,5,7,300.0
0,9,5,7,300.0
0,10,5,7,300.0
0,16,5,7,300.0
0,2,2,6,85.0
0,5,2,6,85.0
0,6,2,6,85.0
0,9,2,6,85.0
0,10,2,6,85.0
0,16,2,6,85.0
0,3,6,6,2.5
0,4,6,6,2.5
0,7,6,6,2.5
0,12,6,6,2.5
0,13,6,6,2.5
0,14,6,6,2.5
0,17,6,6,2.5
0,0,6,8,2.5
0,1,6,8,2.5
0,8,6,8,2.5
0,11,6,8,2.5
0,15,6,8,2.5
0,18,6,8,2.5
0,19,6,8,2.5
0,20,6,8,2.5
0,2,3,9,45.0
0,5,3,9,45.0
0,6,3,9,45.0
0,9,3,9,45.0
0,10,3,9,45.0
0,16,3,9,45.0
0,3,4,10,7.5
0,4,4,10,7.5
0,7,4,10,7.5
0,12,4,10,7.5
0,13,4,10,7.5
0,14,4,10,7.5
0,17,4,10,7.5
0,3,4,11,396.87
0,4,4,11,396.87
0,7,4,11,396.87
0,12,4,11,396.87
0,13,4,11,396.87
0,14,4,11,396.87
0,17,4,11,396.87
0,2,6,12,35.92
0,5,6,12,35.92
0,6,6,12,35.92
0,9,6,12,35.92
0,10,6,12,35.92
0,16,6,12,35.92
0,2,0,13,12.49
0,5,0,13,12.49
0,6,0,13,12.49
0,9,0,13,12.49
0,10,0,13,12.49
0,16,0,13,12.49
0,3,3,14,10.56
0,4,3,14,10.56
0,7,3,14,10.56
0,12,3,14,10.56
0,13,3,14,10.56
0,14,3,14,10.56
0,17,3,14,10.56
0,2,4,12,152.5
0,5,4,12,152.5
0,6,4,12,152.5
0,9,4,12,152.5
0,10,4,12,152.5
0,16,4,12,152.5
0,0,2,15,27.5
0,1,2,15,27.5
0,8,2,15,27.5
0,11,2,15,27.5
0,15,2,15,27.5
0,18,2,15,27.5
0,19,2,15,27.5
0,20,2,15,27.5
0,0,2,16,87.5
0,1,2,16,87.5
0,8,2,16,87.5
0,11,2,16,87.5
0,15,2,16,87.5
0,18,2,16,87.5
0,19,2,16,87.5
0,20,2,16,87.5
0,2,5,17,445.0
0,5,5,17,445.0
0,6,5,17,445.0
0,9,5,17,445.0
0,10,5,17,445.0
0,16,5,17,445.0
0,0,5,5,3552.5
0,1,5,5,3552.5
0,8,5,5,3552.5
0,11,5,5,3552.5
0,15,5,5,3552.5
0,18,5,5,3552.5
0,19,5,5,3552.5
0,20,5,5,3552.5
0,0,6,4,2.11
0,1,6,4,2.11
0,8,6,4,2.11
0,11,6,4,2.11
0,15,6,4,2.11
0,18,6,4,2.11
0,19,6,4,2.11
0,20,6,4,2.11
0,0,5,12,33.81
0,1,5,12,33.81
0,8,5,12,33.81
0,11,5,12,33.81
0,15,5,12,33.81
0,18,5,12,33.81
0,19,5,12,33.81
0,20,5,12,33.81
0,2,2,11,412.5
0,5,2,11,412.5
0,6,2,11,412.5
0,9,2,11,412.5
0,10,2,11,412.5
0,16,2,11,412.5
0,2,1,5,1137.5
0,5,1,5,1137.5
0,6,1,5,1137.5
0,9,1,5,1137.5
0,10,1,5,1137.5
0,16,1,5,1137.5
0,2,4,8,67.5
0,5,4,8,67.5
0,6,4,8,67.5
0,9,4,8,67.5
0,10,4,8,67.5
0,16,4,8,67.5
0,0,6,16,195.0
0,1,6,16,195.0
0,8,6,16,195.0
0,11,6,16,195.0
0,15,6,16,195.0
0,18,6,16,195.0
0,19,6,16,195.0
0,20,6,16,195.0
0,2,2,18,121.25
0,5,2,18,121.25
0,6,2,18,121.25
0,9,2,18,121.25
0,10,2,18,121.25
0,16,2,18,121.25
0,0,2,19,125.62
0,1,2,19,125.62
0,8,2,19,125.62
0,11,2,19,125.62
0,15,2,19,125.62
0,18,2,19,125.62
0,19,2,19,125.62
0,20,2,19,125.62
0,2,1,11,175.0
0,5,1,11,175.0
0,6,1,11,175.0
0,9,1,11,175.0
0,10,1,11,175.0
0,16,1,11,175.0
0,0,5,11,1042.5
0,1,5,11,1042.5
0,8,5,11,1042.5
0,11,5,11,1042.5
0,15,5,11,1042.5
0,18,5,11,1042.5
0,19,5,11,1042.5
0,20,5,11,1042.5
0,0,4,11,473.41
0,1,4,11,473.41
0,8,4,11,473.41
0,11,4,11,473.41
0,15,4,11,473.41
0,18,4,11,473.41
0,19,4,11,473.41
0,20,4,11,473.41
0,2,3,5,1497.5
0,5,3,5,1497.5
0,6,3,5,1497.5
0,9,3,5,1497.5
0,10,3,5,1497.5
0,16,3,5,1497.5
0,3,3,15,12.5
0,4,3,15,12.5
0,7,3,15,12.5
0,12,3,15,12.5
0,13,3,15,12.5
0,14,3,15,12.5
0,17,3,15,12.5
0,3,2,18,212.6
0,4,2,18,212.6
0,7,2,18,212.6
0,12,2,18,212.6
0,13,2,18,212.6
0,14,2,18,212.6
0,17,2,18,212.6
0,3,0,20,9.99
0,4,0,20,9.99
0,7,0,20,9.99
0,12,0,20,9.99
0,13,0,20,9.99
0,14,0,20,9.99
0,17,0,20,9.99
0,2,2,21,20.0
0,5,2,21,20.0
0,6,2,21,20.0
